mcc,mcc_range_start,mcc_range_end,mcc_range_description,mcc_range_reserved_flag,iso_description,usda_description,stripe_description,stripe_code,visa_req_clearing_name,alipay_description,mastercard_description,mastercard_abbreviated_airline_name,amex_description,visa_mcc,visa_mcc_title,visa_mcc_description,visa_included_in_mcc,human_assigned_coicop_label
5599,5000,5599,Retail outlets,False,"Miscellaneous automotive, aircraft and farm equipment dealers -- not elsewhere classified",,Miscellaneous Auto Dealers,miscellaneous_auto_dealers,,"Miscellaneous automotive, aircraft and farm equipment dealers -not elsewhere classified","Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers: not elsewhere classified",,"Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers - Not Elsewhere Classified",5599,"Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Classified)","Merchants classified with this MCC sell new and used aircraft and/or automotive, farm, and recreational vehicles, parts, equipment and supplies not classified with a more specific MCC.","Airplane, Aircraft Dealers All-Terrain Vehicle Dealers Automotive Dealers – Miscellaneous Dealers – Airplane, Aircraft Dealers – Golf Carts Dealers – Miscellaneous Automotive Dealers Plane Dealers – Aircraft",PURCHASE OF VEHICLES
5611,5600,5699,Clothing outlets,False,Men's and boys' clothing and accessory shops,Men's and Boy's Clothing and Accessories Stores,Mens and Boys Clothing and Accessories Stores,mens_and_boys_clothing_and_accessories_stores,,Men's and boys' clothing and accessory shops,Men's and Boys' Clothing and Accessories Stores,,Men's and Boys Clothing and Accessory Stores,5611,Men’s and Boys’ Clothing and Accessories Stores,Merchants classified with this MCC sell men’s and boys’ ready-to-wear clothing and accessories.,"Accessories – Men’s, Boys’ Clothing Apparel – Men’s, Boys’ Clothing Boys’ Clothing, Accessories Clothing – Men’s, Boys’ Clothing, Accessory Stores Hat Shops – Men’s Necktie Stores Tie Shops – Men’s Clothing",CLOTHING AND FOOTWEAR
5621,5600,5699,Clothing outlets,False,Women's ready-to-wear shops,Women's Ready-to-Wear Stores,Womens Ready-To-Wear Stores,womens_ready_to_wear_stores,,Women's ready-to-wear shops,Women's Ready to Wear Stores,,Women's Ready To Wear Stores,5621,Women’s Ready-To-Wear Stores ..,Merchants classified with this MCC sell a general line of women’s ready-to-wear and special-event clothing.,Apparel – Women’s Ready- To-Wear Stores Bridal Shops Clothing – Women’s Ready-To-Wear Stores Coat Stores – Women’s Dress Shops Maternity Stores Outerwear Stores – Women’s,CLOTHING AND FOOTWEAR
5631,5600,5699,Clothing outlets,False,Women's accessory and speciality shops,Women's Accessory and Specialty Shops,Womens Accessory and Specialty Shops,womens_accessory_and_specialty_shops,,Women's accessory and speciality shops,Women's Accessory and Specialty Stores,,Women's Accessory and Specialty Stores,5631,Women’s Accessory and Specialty Shops,"Merchants classified with this MCC sell women’s clothing accessories, including handbags, hats, costume jewelry, scarves, belts, hair accessories, lingerie, and hosiery.","Accessories – Women’s Accessory, Specialty Shops Apparel – Women’s Accessory, Specialty Shops Clothing – Women’s Accessory, Specialty Shops Costume Jewelry Shops Handbag Stores Hat Shops – Women’s Jewelry – Costume Lingerie Stores",CLOTHING AND FOOTWEAR
5641,5600,5699,Clothing outlets,False,Children's and infants' wear shops,Children's and Infant's Wear Stores,Childrens and Infants Wear Stores,childrens_and_infants_wear_stores,,Children's and infants' wear shops,Children's and Infants' Wear Stores,,Children's and Infants' Wear Stores,5641,Children’s and Infants’ Wear Stores,Merchants classified with this MCC sell children’s and infants’ clothing and accessories.,"Apparel – Children’s, Infants’ Wear Baby Clothing Clothing – Children’s, Infants’ Wear Stores Infants’ Clothing",CLOTHING AND FOOTWEAR
5651,5600,5699,Clothing outlets,False,Family clothing shops,Family Clothing Stores,Family Clothing Stores,family_clothing_stores,,Family clothing shops,Family Clothing Stores,,Family Clothing Stores,5651,Family Clothing Stores,"Merchants classified with this MCC sell general lines of men’s, women’s, and children’s clothing and accessories without specializing in sales for a particular gender or age group.","Apparel – Family Clothing Stores Clothing – Family Clothing Stores Jeans, Denim Clothing Stores",CLOTHING AND FOOTWEAR
5655,5600,5699,Clothing outlets,False,Sports and riding apparel shops,"Sports Apparel, Riding  Apparel Stores",Sports and Riding Apparel Stores,sports_and_riding_apparel_stores,,Sports and riding apparel shops,"Sports Apparel, Riding Apparel Stores",,Sports and Riding Apparel Stores,5655,Sports and Riding Apparel Stores,"Merchants classified with this MCC sell athletic, sports, and riding apparel and active wear.","Active Wear – Sports Apparel Apparel – Sports, Riding Apparel Stores Athletic Apparel Stores
Clothing – Sports Apparel, Riding Apparel Stores Equestrian Apparel Riding Apparel – Sports Apparel",CLOTHING AND FOOTWEAR
5661,5600,5699,Clothing outlets,False,Shoe shops,Shoe Stores,Shoe Stores,shoe_stores,,Shoe shops,Shoe Stores,,Shoe Stores,5661,Shoe Stores,"Merchants classified with this MCC sell men’s, women’s, and/or children’s footwear (including athletic footwear) and accessories.",Athletic Shoe Stores Boot Shops Footwear Stores Western Boot Shops,CLOTHING AND FOOTWEAR
5681,5600,5699,Clothing outlets,False,Furriers and fur shops,Furriers and Fur Shops,Furriers and Fur Shops,furriers_and_fur_shops,,Furriers and fur shops,Furriers and Fur Shops,,Furriers and Fur Shops,5681,Furriers and Fur Shops,"Merchants classified with this MCC sell a variety of items made of animal fur, including coats, jackets, hats, and gloves.","Apparel – Furriers, Fur Shops Clothing – Furriers, Fur Shops Coat Stores – Furriers",CLOTHING AND FOOTWEAR
5691,5600,5699,Clothing outlets,False,Men's and women's clothing shops,Men's and Women's Clothing Stores,"Mens, Womens Clothing Stores",mens_womens_clothing_stores,,Men's and women's clothing shops,Men's and Women's Clothing Stores,,Men's and Women's Clothing Stores,5691,Men’s and Women’s Clothing Stores,Merchants classified with this MCC sell men’s and women’s clothing and accessories but not infants’ and children’s clothing.,Apparel – Men’s Clothing Stores Clothing – Women’s Clothing Stores,CLOTHING AND FOOTWEAR
5697,5600,5699,Clothing outlets,False,"Tailors, seamstresses, mending and alterations","Tailors, Seamstress, Mending, and Alterations","Tailors, Alterations",tailors_alterations,,"Tailors, seamstresses, mending and alterations","Alterations, Mending, Seamstresses, Tailors",,"Tailors, Seamstresses, Mending, and Alterations",5697,"Tailors, Seamstresses, Mending, and Alterations","Merchants classified with this MCC create and sell custom-made clothing and perform alterations, mending, and garment repair or restoration.","Alterations Apparel – Tailors, Seamstresses, Mending, Alterations Clothing – Tailors, Seamstresses, Mending, Alterations Custom Made Clothing Dressmakers
Hand Made Clothing Made-To-Order Clothing Mending, Alterations Repairs – Tailors, Seamstresses, Mending, Alterations Seamstresses Services – Tailors, Seamstresses, Mending, Alterations Sewing Shops – Alterations",SERVICES - OTHER
5698,5600,5699,Clothing outlets,False,Wig and toupee shops,Wig and Toupee Stores,Wig and Toupee Stores,wig_and_toupee_stores,,Wig and toupee shops,Wig and Toupee Shops,,Wig and Toupee Stores,5698,Wig and Toupee Stores,"Merchants classified with this MCC sell permanently attached or temporary toupees, wigs, hair pieces, and hair extensions or provide hair weaving services.","Hair Pieces, Extensions Hair Replacement – Non-Surgical Toupee Stores",CLOTHING AND FOOTWEAR
5699,5600,5699,Clothing outlets,False,Miscellaneous apparel and accessory shops,Miscellaneous Apparel and Accessory Shops,Miscellaneous Apparel and Accessory Shops,miscellaneous_apparel_and_accessory_shops,,Miscellaneous apparel and accessory shops,Accessory and Apparel Stores: Miscellaneous,,Miscellaneous Apparel and Accessory Stores,5699,Miscellaneous Apparel and Accessory Shops,Merchants classified with this MCC sell specialized lines of apparel (excluding fur) and accessories that are not classified with a more specific MCC.,"Clothing – Formal Wear Clothing – Miscellaneous Apparel, Accessory Shops Swim Wear Shop T-Shirt Stores",CLOTHING AND FOOTWEAR
5712,5700,5999,Miscellaneous outlets,False,"Furniture, home furnishings and equipment shops and manufacturers, except appliances","Furniture, Home Furnishings, and Equipment Stores, Except Appliances","Furniture, Home Furnishings, and Equipment Stores, Except Appliances",furniture_home_furnishings_and_equipment_stores_except_appliances,,"Furniture, home furnishings and equipment shops and manufacturers, except appliances","Equipment, Furniture, and Home Furnishings Stores (except Appliances)",,"Furniture, Home Furnishings and Equipment Stores, and Manufacturers, except Appliances",5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",Merchants classified with this MCC sell home furnishings and a wide variety of finished furniture products and accessories for the home.,"Bedding, Mattress Stores Custom Made Furniture Equipment Stores Home Furnishings, Furniture Made-to-Order Furniture Mattress Stores Outdoor Furnishings Patio, Porch Furnishings
Stores","FURNITURE, FURNISHINGS, AND LOOSE CARPETS"
5713,5700,5999,Miscellaneous outlets,False,Floor covering services,Floor Covering Stores,Floor Covering Stores,floor_covering_stores,,Floor covering services,Floor Covering Stores,,Floor Covering Stores,5713,Floor Covering Stores,"Merchants classified with this MCC are retail sellers of floor coverings such as carpet, area rugs, floor tile, linoleum, stone, wood, and brick, and may or may not also perform installation services.","Carpet, Rug Stores Linoleum Stores Rug Stores Tile Stores","HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES"
5714,5700,5999,Miscellaneous outlets,False,"Drapery, window covering and upholstery shops","Drapery, Window Covering and Upholstery Stores","Drapery, Window Covering, and Upholstery Stores",drapery_window_covering_and_upholstery_stores,,"Drapery, window covering and upholstery shops","Drapery, Upholstery, and Window Coverings Stores",,"Drapery, Window Covering, and Upholstery Stores",5714,"Drapery, Window Covering, and Upholstery Stores","Merchants classified with this MCC sell draperies, curtains, venetian blinds, window shades, and upholstery materials.",Curtain Stores Upholstery Materials Stores Window-covering Stores,"HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES"
5715,5700,5999,Miscellaneous outlets,False,Alcoholic beverage wholesalers,,,,,Alcoholic beverage wholesalers,,,Alcoholic Beverage Wholesalers,,,,,
5718,5700,5999,Miscellaneous outlets,False,"Fireplaces, fireplace screens and accessories shops","Fireplace, Fireplace Screens, and Accessories Stores","Fireplace, Fireplace Screens, and Accessories Stores",fireplace_fireplace_screens_and_accessories_stores,,"Fireplaces, fireplace screens and accessories shops","Fireplace, Fireplace Screens and Accessories Stores",,"Fireplaces, Fireplace Screens, and Accessories Stores",5718,"Fireplace, Fireplace Screens and Accessories Stores","Merchants classified with this MCC sell pre-made fireplaces, wood stoves, and fireplace parts and accessories.","Hearth, Accessories Stores Heating – Fireplace, Accessories Stores Stoves – Fireplaces, Accessories Stores Woodburning Stoves, Accessories Stores","HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES"
5719,5700,5999,Miscellaneous outlets,False,Miscellaneous home furnishing speciality shops,Miscellaneous Home Furnishing Specialty Stores,Miscellaneous Home Furnishing Specialty Stores,miscellaneous_home_furnishing_specialty_stores,,Miscellaneous home furnishing speciality shops,Miscellaneous House Furnishing Specialty Shops,,Miscellaneous Home Furnishings Specialty Stores,5719,Miscellaneous Home Furnishing Specialty Stores,"Merchants classified with this MCC sell miscellaneous home furnishings such as housewares, cutlery, bedding and linen, lamps and shades, mirrors and pictures, pottery, and ceramic items.","Accessories – Home Furnishings Bed, Bath Shops Cookware Stores Cutlery – Kitchen Home Furnishing Specialty Stores – Miscellaneous Housewares Stores Kitchenware Stores Lamp, Lighting Shops Linen Shops Pottery Stores","HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES"
5722,5700,5999,Miscellaneous outlets,False,Household appliance shops,Household Appliance Stores,Household Appliance Stores,household_appliance_stores,,Household appliance shops,Household Appliance Stores,,Household Appliance Stores,5722,Household Appliance Stores,"Merchants classified with this MCC sell household appliances such as gas or electric ranges and stoves, ovens, refrigerators, dishwashers, water heaters, washers and dryers, garbage disposals, sewing machines, self-contained air conditioning units, and vacuum cleaners, and may or may not also conduct repair work.",Sewing Machine Stores Vacuum Cleaner Stores,HOUSEHOLD APPLIANCES
